# kind,pat(8),act
# pat uses ␠ (U+2420) to represent spaces. loader converts ␠ -> space and pads/truncates to 8.
"OH55","XXXXXX␠␠","EDT101"
"OH55","XXX␠XX␠␠","EDT102"
"OH55","XXXX␠␠␠␠","EDT103"
"OH55","XXX␠␠␠␠␠","EDT104"
"OH55","XX␠␠XX␠␠","EDT105"
"OH55","XX␠␠␠␠␠␠","EDT106"
"OH55","␠␠XXXX␠␠","EDT107"
"OH55","␠␠X␠XX␠␠","EDT108"
"OH55","␠␠XX␠␠␠␠","EDT109"
"OH55","␠␠X␠␠␠␠␠","EDT110"
"OH55","␠␠␠␠XX␠␠","EDT111"
"OH55","␠␠␠␠␠␠␠␠","RETURN"
"NHIN","XXXXXXX␠","EDT201"
"NHIN","XXX␠XXX␠","EDT202"
"NHIN","XXXX␠␠␠␠","EDT210"
"NHIN","XXX␠␠␠␠␠","EDT211"
"NHIN","XX␠␠XXX␠","EDT203"
"NHIN","XX␠␠␠␠␠␠","EDT204"
"NHIN","␠␠XXXXX␠","EDT205"
"NHIN","␠␠XX␠␠␠␠","EDT206"
"NHIN","␠␠X␠XXX␠","EDT207"
"NHIN","␠␠X␠␠␠␠␠","EDT208"
"NHIN","␠␠␠␠XXX␠","EDT209"
"NHIN","␠␠␠␠␠␠␠␠","RETURN"
"OH73","XXXXXXX␠","EDT301"
"OH73","XXX␠XXX␠","EDT302"
"OH73","XXXX␠␠␠␠","EDT303"
"OH73","XXX␠␠␠␠␠","EDT304"
"OH73","XX␠␠␠␠␠␠","EDT305"
"OH73","␠␠XXXXX␠","EDT306"
"OH73","␠␠X␠XXX␠","EDT307"
"OH73","␠␠XX␠␠␠␠","EDT308"
"OH73","␠␠X␠␠␠␠␠","EDT309"
"OH73","␠␠␠␠XXX␠","EDT310"
"OH73","XX␠␠XXX␠","EDT311"
"OH73","␠␠␠␠␠␠␠␠","RETURN"
"NDHN","␠␠X␠␠␠␠␠","EDT402"
"NDHN","␠␠XX␠␠␠␠","EDT403"
"NDHN","X␠␠␠␠␠␠␠","EDT404"
"NDHN","X␠X␠␠␠␠␠","EDT405"
"NDHN","X␠XX␠␠␠␠","EDT406"
"NDHN","␠␠␠␠␠␠␠␠","RETURN"
"SMHN","␠␠X␠␠␠␠␠","EDT501"
"SMHN","␠␠XX␠␠␠␠","EDT502"
"SMHN","␠␠␠␠␠␠␠␠","RETURN"
