# kind,key,value
# PAT (mask) tables for HINPR; spaces may be encoded as ␠ (U+2420).
NHPTN,,XXXXXXXXXXX
OHPTN,1,XXXXXXXXXX␠
OHPTN,2,XXXXXXXXX␠␠
OHPTN,3,XXXXXXXX␠␠␠
OHPTN,4,XXXXXXX␠␠␠␠
OHPTN,5,XXXXXX␠␠␠␠␠
OHPTN,6,XXXXX␠␠␠␠␠␠
OHPTN,7,XXXX␠␠␠␠␠␠␠
OHPTN,8,XXX␠␠␠␠␠␠␠␠
NDPTN19,NDPTN,XXXXXXXXXXXXXXXXXXX
NDPTN19,NDPTN1,XXXXXXXXXXXXXXXXXXX
NDPTN19,NDPTN2,XXXXXXXXXXXXXXXXXXX
NDPTN19,NDPTN3,XXXXXXXXXXXXXXXXXXX
NDPTN19,NDPTN4,XXXXXXXXXXXXXXXXXXX
NDPTN19,NDPTN5,XXXXXXXXXXXXXXXXXXX
NDPTN11,,XXXXXXXXXXX
SMPTN19,SMPTN,XXXXXXXXXXXXXXXXXXX
SMPTN19,SMPTN1,XXXXXXXXXXXXXXXXXXX
SMPTN19,SMPTN2,XXXXXXXXXXXXXXXXXXX
SIZAI20,1,XXXXXXX␠␠␠␠␠␠␠␠␠␠␠␠␠
SIZAI20,2,XXXXXXXX␠␠␠␠␠␠␠␠␠␠␠␠
SIZAI20,3,XXXXXXXXX␠␠␠␠␠␠␠␠␠␠␠
SIZAI20,4,XXXXXXXXXX␠␠␠␠␠␠␠␠␠␠
